"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","MFP","TOT","AGRWTH","A","2010",0.89962,
"FRA","MFP","TOT","AGRWTH","A","2011",0.748562,
"FRA","MFP","TOT","AGRWTH","A","2012",-0.268625,
"FRA","MFP","TOT","AGRWTH","A","2013",0.594054,
"FRA","MFP","TOT","AGRWTH","A","2014",0.421814,
"FRA","MFP","TOT","AGRWTH","A","2015",0.317589,
"FRA","MFP","TOT","AGRWTH","A","2016",-0.111713,
"FRA","MFP","TOT","AGRWTH","A","2017",1.462779,
"FRA","MFP","TOT","AGRWTH","A","2018",0.073992,
"FRA","MFP","TOT","AGRWTH","A","2019",0.03498,
"FRA","MFP","TOT","AGRWTH","A","2020",-2.408889,
"FRA","MFP","TOT","AGRWTH","A","2021",-0.039312,
"DEU","MFP","TOT","AGRWTH","A","2001",1.424645,
"DEU","MFP","TOT","AGRWTH","A","2002",0.017995,
"DEU","MFP","TOT","AGRWTH","A","2003",-0.063064,
"DEU","MFP","TOT","AGRWTH","A","2004",0.633889,
"DEU","MFP","TOT","AGRWTH","A","2005",0.900672,
"DEU","MFP","TOT","AGRWTH","A","2006",1.5984,
"DEU","MFP","TOT","AGRWTH","A","2007",1.014054,
"DEU","MFP","TOT","AGRWTH","A","2008",-0.342759,
"DEU","MFP","TOT","AGRWTH","A","2009",-4.066906,
"DEU","MFP","TOT","AGRWTH","A","2010",2.415872,
"DEU","MFP","TOT","AGRWTH","A","2011",2.454602,
"DEU","MFP","TOT","AGRWTH","A","2012",0.222315,
"DEU","MFP","TOT","AGRWTH","A","2013",0.185885,
"DEU","MFP","TOT","AGRWTH","A","2014",1.016825,
"DEU","MFP","TOT","AGRWTH","A","2015",0.374308,
"DEU","MFP","TOT","AGRWTH","A","2016",1.150906,
"DEU","MFP","TOT","AGRWTH","A","2017",1.552372,
"DEU","MFP","TOT","AGRWTH","A","2018",-0.062531,
"DEU","MFP","TOT","AGRWTH","A","2019",0.350044,
"DEU","MFP","TOT","AGRWTH","A","2020",-0.455111,
"DEU","MFP","TOT","AGRWTH","A","2021",1.035986,
"IRL","MFP","TOT","AGRWTH","A","2001",1.321877,
"IRL","MFP","TOT","AGRWTH","A","2002",3.535585,
"IRL","MFP","TOT","AGRWTH","A","2003",0.504763,
"IRL","MFP","TOT","AGRWTH","A","2004",2.692616,
"IRL","MFP","TOT","AGRWTH","A","2005",-0.461633,
"IRL","MFP","TOT","AGRWTH","A","2006",-0.533461,
"IRL","MFP","TOT","AGRWTH","A","2007",0.426169,
"IRL","MFP","TOT","AGRWTH","A","2008",-5.010227,
"IRL","MFP","TOT","AGRWTH","A","2009",0.030338,
"IRL","MFP","TOT","AGRWTH","A","2010",7.381863,
"IRL","MFP","TOT","AGRWTH","A","2011",0.657868,
"IRL","MFP","TOT","AGRWTH","A","2012",-1.258346,
"IRL","MFP","TOT","AGRWTH","A","2013",-2.908313,
"IRL","MFP","TOT","AGRWTH","A","2014",4.249124,
"IRL","MFP","TOT","AGRWTH","A","2016",-5.374574,
"IRL","MFP","TOT","AGRWTH","A","2017",2.622706,
"IRL","MFP","TOT","AGRWTH","A","2018",3.826342,
"IRL","MFP","TOT","AGRWTH","A","2019",-5.168375,
"IRL","MFP","TOT","AGRWTH","A","2020",5.017629,
"IRL","MFP","TOT","AGRWTH","A","2021",8.50786,
"ITA","MFP","TOT","AGRWTH","A","2001",-0.047953,
"ITA","MFP","TOT","AGRWTH","A","2002",-1.554562,
"ITA","MFP","TOT","AGRWTH","A","2003",-1.317154,
"ITA","MFP","TOT","AGRWTH","A","2004",0.249614,
"ITA","MFP","TOT","AGRWTH","A","2005",-0.159188,
"ITA","MFP","TOT","AGRWTH","A","2006",-0.389918,
"ITA","MFP","TOT","AGRWTH","A","2007",-0.389988,
"ITA","MFP","TOT","AGRWTH","A","2008",-1.273659,
"ITA","MFP","TOT","AGRWTH","A","2009",-3.301808,
"ITA","MFP","TOT","AGRWTH","A","2010",1.734964,
"ITA","MFP","TOT","AGRWTH","A","2011",0.396626,
"ITA","MFP","TOT","AGRWTH","A","2012",-1.402412,
"ITA","MFP","TOT","AGRWTH","A","2013",-0.027719,
"ITA","MFP","TOT","AGRWTH","A","2014",0.044111,
"ITA","MFP","TOT","AGRWTH","A","2015",0.226499,
"ITA","MFP","TOT","AGRWTH","A","2016",0.036966,
"ITA","MFP","TOT","AGRWTH","A","2017",0.802494,
"ITA","MFP","TOT","AGRWTH","A","2018",0.102575,
"ITA","MFP","TOT","AGRWTH","A","2019",0.35067,
"ITA","MFP","TOT","AGRWTH","A","2020",-0.540816,
"ITA","MFP","TOT","AGRWTH","A","2021",0.78465,
"JPN","MFP","TOT","AGRWTH","A","2001",0.060227,
"JPN","MFP","TOT","AGRWTH","A","2002",0.426802,
"JPN","MFP","TOT","AGRWTH","A","2003",0.799971,
"JPN","MFP","TOT","AGRWTH","A","2004",1.665352,
"JPN","MFP","TOT","AGRWTH","A","2005",0.951025,
"JPN","MFP","TOT","AGRWTH","A","2006",-0.059517,
"JPN","MFP","TOT","AGRWTH","A","2007",0.378957,
"JPN","MFP","TOT","AGRWTH","A","2008",-1.06157,
"JPN","MFP","TOT","AGRWTH","A","2009",-2.941543,
"JPN","MFP","TOT","AGRWTH","A","2010",3.260541,
"JPN","MFP","TOT","AGRWTH","A","2011",0.362265,
"JPN","MFP","TOT","AGRWTH","A","2012",1.046984,
"JPN","MFP","TOT","AGRWTH","A","2013",1.961779,
"JPN","MFP","TOT","AGRWTH","A","2014",-0.079551,
"JPN","MFP","TOT","AGRWTH","A","2015",1.5128,
"JPN","MFP","TOT","AGRWTH","A","2016",0.0804,
"JPN","MFP","TOT","AGRWTH","A","2017",0.894836,
"JPN","MFP","TOT","AGRWTH","A","2018",0.295866,
"JPN","MFP","TOT","AGRWTH","A","2019",0.392109,
"JPN","MFP","TOT","AGRWTH","A","2020",-2.441166,
"KOR","MFP","TOT","AGRWTH","A","2001",1.540566,
